,sample_stock_return,equilibrium expected return,weights
VTI,-0.00045550656229421125,6.759326633938777e-08,0.2946970840707763
ITOT,0.0005702522766885017,8.64931166938815e-08,-0.4958145127229157
SCHB,-0.0004576095423877352,6.665742994374384e-08,0.0979327183094938
VEA,-7.972366301064837e-05,6.566107522758513e-08,0.01788530326572868
IXUS,-3.343825298558506e-05,6.794178232219242e-08,-0.057841117198108805
SCHF,-4.508279831640534e-05,6.626251579550796e-08,0.06636449491593055
VWO,0.00018756579685613235,9.703630238692524e-08,0.03855061183946873
IEMG,0.00014679874674972942,9.000498545516652e-08,-0.060180876131537886
SCHE,0.0001830712475706993,9.433489119158442e-08,0.047774665597103194
VIG,-0.00035807589779774784,6.22808811978831e-08,0.01849625411728084
DVY,-0.0004087080449832138,6.437901580104635e-08,0.06990464210429082
SCHD,-0.00038866120788616634,6.214578812714772e-08,-0.0597090885421423
VGSH,2.221347816973034e-06,4.6308586861726374e-11,-4.339432647240439
IEF,2.271271132314435e-05,-4.132358002815255e-10,0.6115993910048871
TLT,5.146199984353779e-05,-1.7584809941701622e-09,-0.0653993841859215
MUB,3.5490634489109284e-05,3.973204934419824e-09,-0.06081674327178632
TFI,3.3369389606080916e-05,3.044411219768253e-09,-0.013997363193677614
PZA,3.057139451760613e-05,4.259708139963828e-09,-0.056365863253223125
SCHP,6.0549386067545804e-05,5.749687442070877e-09,-0.005807583902409874
TIP,7.17082721943895e-05,5.56859293685976e-09,-5.540785899782463e-05
IPE,7.609857904075594e-05,5.126896942442017e-09,-0.07575161149839715
XLE,0.00010903179539418996,9.237631919757385e-08,-0.04256019793399446
DJP,0.000641706774761323,4.054867405594606e-08,-0.002930799151219965
VDE,0.00016189474909528284,9.428588283484084e-08,5.073458030860081
